(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.6, -420.8, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.4, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.4, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.8, -426.3, -109.8)
(-40.4, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.4, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.4, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.7, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.6, -420.8, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-40.7, -420.8, -108.9)
(-38.7, -424.5, -109.7)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-38.6, -424.4, -109.8)
(-40.3, -421.3, -108.9)
(-38.7, -424.5, -109.7)
(-37.7, -426.4, -109.8)
