(-41.2, -421.4, -106.6)
(-41.0, -423.6, -106.8)
(-41.5, -421.6, -106.4)
(-41.2, -421.4, -106.6)
(-41.0, -423.6, -106.8)
(-41.5, -421.6, -106.4)
(-41.0, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-41.5, -421.6, -106.4)
(-41.2, -421.3, -106.5)
(-41.0, -423.6, -106.8)
(-41.5, -421.6, -106.4)
(-41.2, -421.4, -106.6)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.5, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.4, -421.7, -106.4)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.4)
(-41.1, -421.4, -106.5)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.1, -421.4, -106.5)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.1, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.0, -423.6, -106.8)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.5, -421.7, -106.3)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.5, -421.7, -106.3)
(-41.0, -423.6, -106.9)
(-41.4, -421.7, -106.4)
(-41.1, -421.4, -106.5)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
(-41.1, -421.4, -106.4)
(-41.0, -423.6, -106.8)
(-41.4, -421.6, -106.3)
(-41.0, -423.6, -106.8)
(-41.1, -423.6, -106.8)
(-41.4, -421.7, -106.2)
(-41.0, -423.6, -106.9)
(-41.0, -423.6, -106.8)
(-41.2, -421.7, -106.3)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.3, -421.8, -106.3)
(-41.0, -423.6, -106.8)
(-41.3, -421.7, -106.2)
(-41.1, -421.4, -106.3)
(-41.0, -423.7, -106.7)
(-41.5, -421.7, -106.2)
(-41.3, -421.4, -106.3)
(-41.0, -423.6, -106.8)
(-41.3, -421.7, -106.3)
(-41.0, -423.6, -106.9)
(-41.0, -423.6, -106.8)
(-41.3, -421.8, -106.4)
(-41.0, -423.6, -106.8)
(-41.0, -423.6, -106.8)
(-41.2, -421.8, -106.3)
(-40.9, -423.7, -106.8)
(-40.1, -425.4, -107.1)
(-41.2, -422.0, -106.2)
(-41.0, -423.6, -106.8)
(-40.1, -425.4, -107.1)
(-41.4, -421.8, -106.3)
(-41.0, -423.6, -106.8)
(-41.4, -421.7, -106.3)
