(-40.4, -420.6, -102.1)
(-40.6, -420.1, -102.2)
(-40.5, -420.4, -102.2)
(-40.3, -420.7, -102.2)
(-40.7, -419.9, -102.2)
(-40.7, -420.1, -102.2)
(-40.2, -420.9, -102.4)
(-40.7, -420.0, -102.1)
(-40.5, -420.4, -102.2)
(-40.6, -420.0, -102.1)
(-40.5, -420.3, -102.1)
(-40.3, -420.7, -102.3)
(-40.7, -420.0, -102.2)
(-40.6, -420.1, -102.2)
(-40.2, -420.6, -102.3)
(-40.7, -420.0, -102.3)
(-40.4, -420.5, -102.2)
(-40.2, -420.8, -102.2)
(-40.7, -420.0, -102.2)
(-40.7, -420.1, -102.2)
(-40.3, -420.9, -102.1)
(-40.7, -419.9, -102.2)
(-40.5, -420.4, -102.2)
(-40.2, -420.9, -102.3)
(-40.7, -420.0, -102.2)
(-40.5, -420.3, -102.2)
(-40.2, -420.5, -102.3)
(-40.7, -420.2, -102.2)
(-40.3, -420.7, -102.2)
(-40.5, -420.4, -102.1)
(-40.6, -420.2, -102.2)
(-40.2, -420.5, -102.4)
(-40.7, -420.2, -102.1)
(-40.7, -420.1, -102.2)
(-40.3, -420.7, -102.3)
(-40.5, -420.4, -102.3)
(-40.6, -420.1, -102.2)
(-40.2, -421.1, -102.1)
(-40.7, -420.0, -102.2)
(-40.7, -420.1, -102.2)
(-40.1, -421.1, -102.4)
(-40.7, -420.0, -102.1)
(-40.7, -420.1, -102.2)
(-40.1, -420.8, -102.4)
(-40.7, -420.0, -102.2)
(-40.6, -420.5, -102.1)
(-40.4, -420.4, -102.2)
(-40.7, -420.1, -102.2)
(-40.2, -420.7, -102.4)
(-40.6, -420.2, -102.1)
(-40.6, -420.2, -102.2)
(-40.2, -420.5, -102.4)
(-40.7, -420.2, -102.3)
(-40.6, -420.1, -102.2)
(-40.4, -420.5, -102.1)
(-40.7, -420.0, -102.3)
(-40.7, -420.1, -102.2)
(-40.4, -420.8, -102.2)
(-40.5, -420.3, -102.3)
(-40.7, -420.1, -102.2)
(-40.2, -421.2, -102.3)
(-40.7, -420.0, -102.1)
(-40.7, -420.4, -102.0)
(-40.4, -420.4, -102.3)
(-40.7, -420.1, -102.1)
(-40.4, -420.6, -102.2)
(-40.4, -420.3, -102.0)
(-40.4, -420.4, -102.3)
(-40.2, -420.5, -102.5)
(-40.5, -420.4, -102.1)
(-40.6, -420.1, -102.3)
(-40.2, -420.5, -102.3)
(-40.5, -420.4, -102.3)
(-40.4, -420.7, -102.2)
(-40.5, -420.6, -102.2)
(-40.8, -420.1, -102.3)
(-40.7, -420.1, -102.2)
(-40.4, -420.9, -102.3)
(-40.7, -419.9, -102.3)
(-40.8, -420.1, -102.2)
(-40.3, -420.7, -102.4)
(-40.7, -420.0, -102.1)
(-40.6, -420.4, -102.2)
(-40.7, -420.0, -102.1)
(-40.7, -420.0, -102.1)
(-40.4, -420.6, -102.4)
(-40.5, -420.4, -102.2)
(-40.7, -420.2, -102.2)
(-40.3, -420.7, -102.4)
(-40.8, -420.0, -102.3)
(-40.7, -420.1, -102.3)
(-40.4, -420.7, -102.3)
(-40.8, -419.9, -102.3)
(-40.8, -420.1, -102.2)
(-40.4, -421.0, -102.2)
(-40.8, -420.0, -102.2)
(-40.7, -420.1, -102.2)
(-40.1, -421.0, -102.5)
(-40.8, -420.1, -102.2)
(-40.7, -420.3, -102.2)
(-40.3, -420.6, -102.3)
(-40.8, -420.1, -102.2)
(-40.4, -420.7, -102.3)
(-40.6, -420.2, -102.1)
(-40.7, -420.2, -102.2)
(-40.4, -420.5, -102.4)
(-40.7, -420.2, -102.3)
(-40.8, -420.1, -102.2)
(-40.3, -420.6, -102.3)
(-40.8, -420.1, -102.4)
(-40.8, -420.1, -102.3)
(-40.4, -420.9, -102.2)
(-40.8, -419.9, -102.3)
(-40.8, -420.1, -102.2)
(-40.2, -421.2, -102.4)
(-40.7, -420.0, -102.1)
